,pertanyaan test,jawaban test,hasil jawaban
0,siapa raja pertama di sumedang larang?,Batara Tuntang Buana,Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela
1,siapa nama ayah dari batara tuntang buana?,Prabu Guru Haji Aji Putih,Prabu Guru Haji Aji Putih
2,siapa nama lain batara tuntang buana?,Prabu Resi Tajimalela.,Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela
3,siapa nama istri batara tuntang buana?,Ratu Rangga Wulung,Ratu Rangga Wulung
4,siapa nama anak kembar raja batara tuntang buana?,Lembu Agung dan Gajah Agung,"Prabu Gajah Agung, Prabu Lembu Agung"
5,pada tahun berapa Prabu Tajimalela memimpin sumedang larang?,721 - 778 M,721 - 778 M
6,siapa raja setelah raja batara tuntang buana wafat?,Prabu Gajah Agung,Prabu Gajah Agung
7,siapa raja kedua sumedang larang?,Prabu Gajah Agung,Prabu Gajah Agung
8,dimana ibukota sumedang larang dipindahkan pada masa raja gajah agung?,"Ciguling, sekarang sekitar sumedang selatan",Ciguling (sekarang sekitar Sumedang Selatan)
9,siapa yang memindahkan ibukota sumedang larang ke ciguling?,Prabu Gajah Agung,Prabu Gajah Agung
10,siapa raja ketiga sumedang larang?,Wirajaya,Wirajaya punya nama lain/gelar Sunan Pagulingan
11,siapa raja setelah raja gajah agung wafat?,Wirajaya,Wirajaya punya nama lain/gelar Sunan Pagulingan
12,siapa nama lain dari raja wirajaya?,Sunan Pagulingan,Wirajaya punya nama lain/gelar Sunan Pagulingan
13,siapa yang memindahkan ibukota sumedang larang ke Cipameungpeuk?,Sunan Pagulingan,Wirajaya punya nama lain/gelar Sunan Pagulingan
14,mengapa ibukota sumedang larang pindah pada masa pemerintahan Raja Wirajaya?,Karena Perpindahan ini menunjukkan tanda bahwa kerajaan ini belum mempunyai keraton yang permanen sebagai tempat tinggal raja dan pusat pemerintahan,"Cipameungpeuk, Karena Perpindahan ini menunjukkan tanda bahwa kerajaan ini belum mempunyai keraton yang permanen sebagai tempat tinggal raja dan pusat pemerintahan"
15,dimana ibukota sumedang larang dipindahkan pada masa raja wirajaya?,Cipameungpeuk,Cipameungpeuk
16,siapa nama anak raja Sunan Pagulingan?,Ratu Istri Rajamantri.,Ratu Istri Rajamantri
17,pada tahun berapa Sunan Pagulingan memimpin sumedang larang?,998 - 1114 Masehi,998 - 1114 M
18,siapa raja keempat sumedang larang?,Ratu Istri Rajamantri,Ratu Istri Rajamantri
19,siapa ratu pertama sumedang larang?,Ratu Istri Rajamantri,Ratu Istri Rajamantri
20,siapa raja yang menggantikan Sunan Pagulingan?,Ratu Istri Rajamantri,Ratu Istri Rajamantri
21,pada masa raja siapa sumedang dibawah kerajaan pajajaran?,Ratu Istri Rajamantri,Ratu Istri Rajamantri
22,siapa nama suami ratu istri rajamantri?,Prabu Siliwangi,Prabu Siliwangi
23,mengapa kerajaan sumedang dibawah kerajaan pajajaran pada masa ratu istri rajamantri?,Saat pemerintahan digantikan dengan puteri Sunan Pagulingan yaitu Ratu Istri Rajamantri. Pada masa ini status Sumedang Larang adalah negara bawahan dari Kerajaan Pajajaran. Hal ini terjadi karena Ratu Istri Rajamantri kemudian diambil sebagai isteri oleh putera Prabu Surawisesa (yang dikenal sebagai Prabu Siliwangi) dari Kerajaan Pajajaran.,Saat pemerintahan digantikan dengan puteri Sunan Pagulingan yaitu Ratu Istri Rajamantri. Pada masa ini status Sumedang Larang adalah negara bawahan dari Kerajaan Pajajaran. Hal ini terjadi karena Ratu Istri Rajamantri kemudian diambil sebagai isteri oleh putera Prabu Surawisesa (yang dikenal sebagai Prabu Siliwangi) dari Kerajaan Pajajaran.
24,siapa raja kelima kerajaan sumedang?,Sunan Guling,Sunan Guling
25,siapa yang menggantikan ratu istri rajamantri?,Sunan Guling,Sunan Guling
26,siapa nama saudara sunan guling?,Ratu Istri Rajamantri,Ratu Istri Rajamantri
27,siapa nama saudara Ratu Rajamantri yang menggantikan raja sumedang selanjutnya?,Sunan Guling,Sunan Guling
28,siapa raja keenam kerajaan sumedang?,sunan patuakan/prabu tirtakusuma,Prabu Tirtakusuma punya nama lain/gelar Sunan Patuakan
29,siapa yang menggantikan sunan guling?,sunan patuakan,Prabu Tirtakusuma punya nama lain/gelar Sunan Patuakan
30,siapa raja ketujuh kerajaan sumedang?,Nyimas ratu patuakan,Nyimas Ratu Patuakan
31,siapa yang menggantikan sunan patuakan?,Nyimas ratu patuakan,Nyimas Ratu Patuakan
32,siapa raja kedelapan di sumedang larang?,Nyimas Ratu Dewi Inten Dewata,Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun
33,siapa ratu ketiga di sumedang larang?,Nyimas Ratu Dewi Inten Dewata,Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun
34,siapa yang menggantikan nyimas ratu patuakan?,Nyimas Ratu Dewi Inten Dewata,Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun
35,pada masa raja siapa yang memindahkan ibukota sumedang larang ke kutamaya?,Nyimas Ratu Dewi Inten Dewata,Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun
36,siapa nama lain dari nyimas ratu dewi inten dewata?,Ratu pucuk umun,Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun
37,siapa nama suami ratu pucuk umun?,Pangeran Santri / Pangeran Kusumadinata,Pangeran Kusumadinata
38,siapa nama anak ratu pucuk umun?,Raden Angkawijaya,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun
39,dimana ibukota sumedang larang dipindahkan pada masa Nyimas Ratu Dewi Inten Dewata?,kutamaya (sekarang sebelah barat kota sumedang),Kutamaya (sekarang sebelah barat Kota Sumedang)
40,siapa nama anak nyimas ratu dewi inten dewata?,Raden Angkawijaya,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun
41,siapa raja kesembilan kerajaan sumedang larang?,raden angkawijaya,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun
42,siapa yang menggantikan ratu pucuk umun?,raden angkawijaya,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun
43,siapa nama lain dari Raden Angkawijaya?,Prabu Geusan Ulun,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun
44,pada masa pemerintahan siapa sumedang larang menjadi kerajaan yang otonom dan merdeka?,Prabu Geusan Ulun,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun
45,dimana wilayah sumedang larang pada masa Prabu Geusan Ulun?,"Wilayahnya meliputi daerah Bandung (kabupaten) sekarang, Karawang, Ciasem, Pamanukan dan Indramayu","Wilayahnya meliputi daerah Bandung (kabupaten) sekarang, Karawang, Ciasem, Pamanukan dan Indramayu"
46,siapa nama istri pertama Prabu Geusan Ulun?,Nyi Mas Cukang Gedengwaru,Nyi Mas Cukang Gedengwaru
47,siapa nama istri kedua Prabu Geusan Ulun?,Ratu Harisbaya,Ratu Harisbaya
48,siapa nama anak Prabu Geusan Ulun dari istri pertama?,Pangeran Rangga Gede,"Pangeran Rangga Gede, Nyi Mas Cukang Gedengwaru"
49,siapa nama anak Prabu Geusan Ulun dari istri kedua?,Raden Aria Suriadiwangsa,"Raden Aria Suriadiwangsa punya nama lain/gelar Raden Suriadiwangsa, Ratu Harisbaya"
50,Bagaimana peralihan kekuasaan dilakukan kepada Prabu Geusan Ulun?,"Peralihan kekuasaan Pajajaran ke Kerajaan Suemdang Larang terjadi ketika Kerajaan Pajajaran diambang keruntuhan, terjadi penggantian pimpinan tertinggi tahta pada Kerajaan Sumedang Larang dari Ratu Pucuk umum kepada Prabu Geusan Ulun. Peralihan kekuasaan Pajajaran ke Kerajaan Sumedang Larang secara simbolis dilakukan dengan penyerahan mahkota emas Kerajaan Pajajaran kepada Prabu Geusan Ulun. Ini berarti, Kerajaan Sumedang Larang adalah penerus Kerajaan Pajajaran atau Kerajaan Sunda.","Peralihan kekuasaan Pajajaran ke Kerajaan Sumedang Larang terjadi ketika Kerajaan Pajajaran diambang keruntuhan, terjadi pergantian pimpinan tertinggi tahta pada Kerajaan Sumedang Larang dari Ratu Pucuk umun kepada Prabu Geusan Ulun. Peralihan kekuasaan Pajajaran ke Kerajaan Sumedang Larang secara simbolis dilakukan dengan penyerahan mahkota emas Kerajaan Pajajaran kepada Prabu Geusan Ulun. Ini berarti, Kerajaan Sumedang Larang adalah penerus Kerajaan Pajajaran atau Kerajaan Sunda."
51,pada tahun berapa Prabu Geusan Ulun memerintah?,1580-1608 M,1580 - 1608 M
52,pada tahun berapa prabu Geusan Ulun wafat,Prabu Geusan Ulun wafatnya saat itu tahun 1608,"1580 - 1608 M, 1608 M"
53,siapa yang menggantikan raden geusan ulun?,Raden Aria Suriadiwangsa,Raden Aria Suriadiwangsa punya nama lain/gelar Raden Suriadiwangsa
54,siapa yang menggantikan raden angkawijaya?,Raden Aria Suriadiwangsa,Raden Aria Suriadiwangsa punya nama lain/gelar Raden Suriadiwangsa
55,siapa raja kesepuluh kerajaan sumedang larang?,Raden Aria Suriadiwangsa,Raden Aria Suriadiwangsa punya nama lain/gelar Raden Suriadiwangsa
56,siapa yang mendeklarasikan sumedang larang menjadi penerus kerajaan Pajajaran ?,Prabu Geusan Ulun,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun
57,dimana tempat Mahkota Raja Pajajaran disimpan?,"Mahkota Raja Pajajaran ini sekarang disimpan di Gedung Pusaka, Museum Prabu Geusan Ulun – Karaton Sumedang Larang dalam pengelolaan Yayasan Nazhir Wakaf Paneran Sumedang di Kota Sumedang.","Mahkota Raja Pajajaran ini sekarang disimpan di Gedung Pusaka, Museum Prabu Geusan Ulun – Karaton Sumedang Larang dalam pengelolaan Yayasan Nazhir Wakaf Paneran Sumedang di Kota Sumedang."
58,Pada tahun berapa kerajaan sumedang larang berdiri?,721 M,"721 - 778 M, 721 Masehi"
59,Kapan sumedang larang berdiri?,721 M,721 Masehi
60,"sebelum nama kerajaan sumedang larang, apa nama kerajaan ini?",Kerajaan Tembong Agung,"Kerajaan Tembong Agung, Kerajaan Tembong Agung ini dipimpin oleh Prabu Guru Haji Aji Putih, sebagai raja pertama. Disebutkan, Prabu Guru masih terkait tali kekeluargaan dengan Prabu Sri Baduga Maharaja dari KerajaanSunda masa itu. Dia juga mempunyai seorang putera bernama Batara Tuntang Buana yang kemudian mendirikan Kerajaan Sumedang Larang. Ketika memimpin kerajaannya yang baru ini, Batara mengganti namanya menjadi Prabu Tajimalela."
61,ketika masih menjadi kerajaan tembong agung siapakah raja yang mendirikannya?,Prabu Guru Haji Aji Putih,"Prabu Guru Haji Aji Putih, Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela, Kerajaan Tembong Agung"
62,siapakah raja yang mendirikan kerajaan tembong agung,Prabu Guru Haji Aji Putih,"Prabu Guru Haji Aji Putih, Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela, Kerajaan Tembong Agung"
63,pada tahun berapa sumedang mengalami kehancuran akibat serangan sultan banten?,1579,1579
64,bagian mana saja yang menjadi daerah kekuasan sumedang larang?,"Jawa Barat, Banten, Cirebon dan Jayakarta (Batavia)","Jawa Barat, Banten, Cirebon dan Jayakarta (Batavia)"
65,bercorak apa sajakah sumedang larang?,Islam,Islam
66,sejak kapan sumedang larang bercorak islam?,sejak ratu umun menikah dengan pangeran santri,"sejak ratu umun menikah dengan pangeran santri, Islam"
67,mengapa terjadi peperangan pasukan panembahan ratu dengan prajurit cirebon?,karena kaburnya Ratu Harisbaya ke Sumedang Larang bersama Prabu Geusan Ulun,karena kaburnya Ratu Harisbaya ke Sumedang Larang bersama Prabu Geusan Ulun
68,Mengapa kerajaan sumedang larang runtuh?,"Adanya pengakuan (pretensi) atas seluruh wilayah Jawa Barat kecuali Banten dan Cirebon kepada Belanda (VOC) yang menyebabkan seluruh wilayah Jawa Barat kecuali Banten dan Cirebon, dianggap sebagai wilayah Mataram di bagian barat Pulau Jawa berada dibawah Mataram. Sejak saat itu Kerajaan Sumedang Larang berubah statusnya menjadi Kabuphatian Sumedang di bawah kekuasaan Mataram. Sultan Agung kemudian secara resmi mengangkat Raden Aria Suriadiwangsa menjadi Bupati Sumedang yang pertama.","Adanya pengakuan (pretensi) atas seluruh wilayah Jawa Barat kecuali Banten dan Cirebon kepada Belanda (VOC) yang menyebabkan seluruh wilayah Jawa Barat kecuali Banten dan Cirebon, dianggap sebagai wilayah Mataram di bagian barat Pulau Jawa berada dibawah Mataram. Sejak saat itu Kerajaan Sumedang Larang berubah statusnya menjadi Kabuphatian Sumedang di bawah kekuasaan Mataram. Sultan Agung kemudian secara resmi mengangkat Raden Aria Suriadiwangsa menjadi Bupati Sumedang yang pertama."
69,Apa saja peninggalan kerajaan sumedang,"Badik Curuk Aul, Keris Ki Dukun, Keris Panunggul Naga, Mahkota Binokasih, Pedang Ki Mastak","Badik Curuk Aul, Keris Ki Dukun, Keris Panunggul Naga, Mahkota Binokasih, Pedang Ki Mastak, Mahkota Binokasih adalah mahkota Kerajaan Pajajaran yang diberikan kepada Prabu Geusan Ulun sebagai tanda bahwa Kerajaan Sumedang Larang sebagai penerus Kerajaan Pajajaran"
70,Nama raja-raja di sumedang larang,"Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun, Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela, Raden Aria Suriadiwangsa punya nama lain/gelar Raden Suriadiwangsa, Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun, Wirajaya punya nama lain/gelar Sunan Pagulingan, Prabu Tirtakusuma punya nama lain/gelar Sunan Patuakan","Nyimas Ratu Patuakan, Prabu Gajah Agung, Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun, Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela, Raden Aria Suriadiwangsa punya nama lain/gelar Raden Suriadiwangsa, Nyimas Ratu Dewi Inten Dewata punya nama lain/gelar Ratu Pucuk Umun, Ratu Istri Rajamantri, Sunan Guling, Wirajaya punya nama lain/gelar Sunan Pagulingan, Prabu Tirtakusuma punya nama lain/gelar Sunan Patuakan"
71,Apa barang peninggalan mbak jaya perkasa?,Badik Curuk Aul,Badik Curuk Aul
72,siapa yang meninggalkan badik curuk aul?,Mbah Jaya Perkasa,Mbah Jaya Perkasa punya nama lain/gelar Batara Sang Hyang Hawu
73,siapa pemilik badik curuk aul?,Mbah Jaya Perkasa,Mbah Jaya Perkasa punya nama lain/gelar Batara Sang Hyang Hawu
74,Apa barang peninggalan prabu gajah agung?,Keris Ki Dukun,Keris Ki Dukun
75,siapa yang meninggalkan keris ki dukun?,Prabu Gajah Agung,Prabu Gajah Agung
76,siapa pemilik keris ki dukun?,Prabu Gajah Agung,Prabu Gajah Agung
77,Apa barang peninggalan prabu geusan ulun?,"Keris Panunggul Naga, Mahkota Binokasih","Keris Panunggul Naga, Mahkota Binokasih, Mahkota Binokasih adalah mahkota Kerajaan Pajajaran yang diberikan kepada Prabu Geusan Ulun sebagai tanda bahwa Kerajaan Sumedang Larang sebagai penerus Kerajaan Pajajaran"
78,siapa yang meninggalkan keris panunggul naga?,Prabu Geusan Ulun,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun
79,siapa pemilik keris panunggul naga?,Prabu Geusan Ulun,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun
80,siapa yang meninggalkan mahkota binokasih?,Prabu Geusan Ulun,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun
81,siapa pemilik mahkota binokasih?,Prabu Geusan Ulun,Raden Angkawijaya punya nama lain/gelar Prabu Geusan Ulun
82,apa itu mahkota binokasih?,Mahkota Binokasih adalah mohkota Kerajaan Pajajaran yang diberikan kepada Prabu Geusan Ulun sebagai tanda bahwa Kerajaan Sumedang Larang sebagai penerus Kerajaan Pajajaran,"Mahkota Binokasih, Mahkota Binokasih adalah mahkota Kerajaan Pajajaran yang diberikan kepada Prabu Geusan Ulun sebagai tanda bahwa Kerajaan Sumedang Larang sebagai penerus Kerajaan Pajajaran"
83,Apa barang peninggalan prabu resi tajimalela?,Pedang Ki Mastak,Pedang Ki Mastak
84,siapa yang meninggalkan pedang ki mastak?,Prabu Resi Tajimalela,Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela
85,siapa pemilik pedang ki mastak?,Prabu Resi Tajimalela,Batara Tuntang Buana punya nama lain/gelar Prabu Resi Tajimalela
86,siapa itu kandage lante?,"Mbah Jaya Perkasa, Nangann, Kodang Hapa, dan Terong Peot (Kandage Lante)","Mbah Jaya Perkasa, Nangann, Kodang Hapa, dan Terong Peot (Kandage Lante)"
87,apa itu kandage lante?,"semasa kejayaan Pajajaran, ada empat pejabat tinggi Pajajaran yang berasal dari Sumedang yaitu Mbah Jaya Perkasa, Nangann, Kodang Hapa, Terong Peot. Keempat orang ini mulanya mengabdi pada Kerajaan Pajajaran. Ketika Kerajaan Pajajaran runtuh, keempat pejabat tinggi ini diamanahkan untuk menyerahkan mahkota bernama Binokasih, dari Raja Pajajaran waktu itu (Raja Mulya Surya Kencana), kepada Prabu Geusan Ulun. Kemudian keempat petinggi kerajaan tadi atau Kandage Lante itu mengabdi kepada Prabu Geusan Ulun, diangkat sebagai panglima dan penasihat.","Mbah Jaya Perkasa, Nangann, Kodang Hapa, dan Terong Peot (Kandage Lante), semasa kejayaan Pajajaran, ada empat pejabat tinggi Pajajaran yang berasal dari Sumedang yaitu Mbah Jaya Perkasa, Nangann, Kodang Hapa, Terong Peot. Keempat orang ini mulanya mengabdi pada Kerajaan Pajajaran. Ketika Kerajaan Pajajaran runtuh, keempat pejabat tinggi ini diamanahkan untuk menyerahkan mahkota bernama Binokasih, dari Raja Pajajaran waktu itu (Raja Mulya Surya Kencana), kepada Prabu Geusan Ulun. Kemudian keempat petinggi kerajaan tadi atau Kandage Lante itu mengabdi kepada Prabu Geusan Ulun, diangkat sebagai panglima dan penasihat."
88,siapa nama Mbah Jaya Perkasa?,Mbah Jaya Perkasa,Mbah Jaya Perkasa punya nama lain/gelar Batara Sang Hyang Hawu
89,apa gelar Mbah Jaya Perkasa?,Batara Sang Hyang Hawu,"Mbah Jaya Perkasa punya nama lain/gelar Batara Sang Hyang Hawu, Batara Sang Hyang Hawu punya nama lain/gelar Batara Sang Hyang Hawu"
90,Siapa nama Kodang Hapa?,Kodang Hapa,Kodang Hapa
91,Apa gelar Kodang Hapa?,Batara Sang Hyang Kodang Hapa,"Kodang Hapa, Batara Sang Hyang Kodang Hapa punya nama lain/gelar Batara Sang Hyang Kodang Hapa"
92,Siapa nama Nangann?,Nangann,Nangann punya nama lain/gelar Batara Dipati Wiradijaya
93,Apa gelar Nangann?,Batara Dipati Wiradijaya,"Nangann punya nama lain/gelar Batara Dipati Wiradijaya, Batara Dipati Wiradijaya punya nama lain/gelar Batara Dipati Wiradijaya"
94,Siapa nama Terong Peot?,Terong Peot,Terong Peot punya nama lain/gelar Batara Pancar Buana
95,Apa gelar Terong Peot?,Batara Pancar Buana,"Terong Peot punya nama lain/gelar Batara Pancar Buana, Batara Pancar Buana punya nama lain/gelar Batara Pancar Buana"
96,Siapa nama ratu kedua kerajaan sumedang larang?,Nyimas Ratu Patuakan,jawaban tidak ditemukan
97,Dimana peninggalan-peninggalan Kerajaan Sumedang Larang disimpan?,"Peninggalan Kerajaan Sumedang Larang sekarang berada di Gedung Pusaka, Museum Prabu Geusan Ulun – Karaton Sumedang Larang dalam pengelolaan Yayasan Nazhir Wakaf Paneran Sumedang di Kota Sumedang.","Peninggalan Kerajaan Sumedang Larang sekarang berada di Gedung Pusaka, Museum Prabu Geusan Ulun – Karaton Sumedang Larang dalam pengelolaan Yayasan Nazhir Wakaf Paneran Sumedang di Kota Sumedang."
98,Bagaiama asal usul nama Sumedang larang?,"Batara Tuntang Buana bersabda ""Ingsun Medal Ingsun Madangan"" (aku lahir aku memberikan penerangan) yang sekarang dijadikan nama Sumedang","Batara Tuntang Buana bersabda ""Ingsun Medal Ingsun Madangan"" (aku lahir aku memberikan penerangan) yang sekarang dijadikan nama Sumedang"
