kata,ganti,tag
siapa,siapa,WH
apa,apa,WH
mana,mana,WH
kenapa,kenapa,WH
kapan,kapan,WH
bagaimana,bagaimana,WH
mengapa,mengapa,WH
berapa,berapa,WH
raja,raja,NN
pertama,pertama,OD
pimpin,pemimpin,NN
resi,resi,NN
tajimalela,tajimalela,NN
batara,batara,NN
tuntang,tuntang,NN
buana,buana,NN
diri,pendiri,NN
dua,kedua,OD
gajah,gajah,NN
agung,agung,NN
tiga,ketiga,OD
wirajaya,wirajaya,NN
pagulingan,pagulingan,NN
empat,keempat,OD
sri,sri,NN
rajamantri,rajamantri,NN
lima,kelima,OD
guling,guling,NN
enam,keenam,OD
sunan,sunan,NN
patuakan,patuakan,NN
tirtakusuma,tirtakusuma,NN
tujuh,ketujuh,OD
nyimas,nyimas,NN
ratu,ratu,NN
delap,kedelapan,OD
dewi,dewi,NN
dewata,dewata,NN
pucuk,pucuk,NN
umun,umun,NN
sembilan,kesembilan,OD
geusan,geusan,NN
ulun,ulun,NN
angkawijaya,angkawijaya,NN
puluh,kesepuluh,OD
suriadiwangsa,suriadiwangsa,NN
aria,aria,NN
raden,raden,NN
hawu,hawu,NN
embah,embah,NN
jaya,jaya,NN
perkosa,perkosa,NN
perkasa,perkasa,NN
batara,batara,NN
sang,sang,NN
hyang,hyang,NN
pancar,pancar,NN
buana,buana,NN
terong,terong,NN
peot,peot,NN
dipati,dipati,NN
wiradijaya,wiradijaya,NN
nangann,nangann,NN
nangan,nangann,NN
kodang,kodang,NN
hapa,hapa,NN
guru,guru,NN
haji,haji,NN
putih,putih,NN
pangeran,pangeran,NN
kusumadinata,kusumadinata,NN
santri,santri,NN
ciguling,ciguling,NNP
cipameungpeuk,cipameungpeuk,NNP
kutamaya,kutamaya,NNP
sumedang,sumedang,NNP
larang,larang,NNP
tembong,tembong,NNP
agung,agung,NNP
nama,nama,NN
setelah,setelah,NN
telah,setelah,NN
sebelum,sebelum,NN
belum,sebelum,NN
bawah,bawah,NN
pajajaran,pajajaran,NNP
merdeka,merdeka,NN
terus,penerus,NN
alih,peralihan,NN
kuasa,kuasa,NN
hancur,hancur,NN
runtuh,runtuh,NN
corak,corak,NN
sejak,sejak,NN
cirebon,cirebon,NNP
istri,istri,NN
anak,anak,NN
kuas,kekuasaan,NN
tinggal,peninggalan,NN
panunggul,panunggul,NN
curuk,curuk,NN
aul,aul,NN
dukun,dukun,NN
binokasih,binokasih,NN
mbah,mbah,NN
kandage,kandage,NN
lante,lante,NN
tempat,tempat,NN
mana,tempat,NN