kata,tag
raja,NN
pertama,OD
pimpin,NN
resi,NN
tajimalela,NN
batara,NN
tuntang,NN
buana,NN
berdiri,NN
dua,OD
gajah,NN
agung,NN
tiga,OD
wirajaya,NN
pagulingan,NN
empat,OD
sri,NN
rajamantri,NN
lima,OD
guling,NN
enam,OD
sunan,NN
patuakan,NN
tirtakusuma,NN
tujuh,OD
nyimas,NN
ratu,NN
delap,OD
dewi,NN
dewata,NN
pucuk,NN
umun,NN
sembilan,OD
geusan,NN
ulun,NN
angkawijaya,NN
puluh,OD
suriadiwangsa,NN
aria,NN
raden,NN
hawu,NN
embah,NN
jaya,NN
perkosa,NN
perkasa,NN
batara,NN
sang,NN
hyang,NN
pancar,NN
buana,NN
terong,NN
peot,NN
dipati,NN
wiradijaya,NN
nangann,NN
nangan,NN
kodang,NN
hapa,NN
guru,NN
haji,NN
putih,NN
pangeran,NN
kusumadinata,NN
santri,NN
ciguling,NNP
cipameungpeuk,NNP
kutamaya,NNP
sumedang,NNP
larang,NNP
tembong,NNP
agung,NNP
nama,NN
sebelum,NN
bawah,NN
pajajaran,NNP
merdeka,NN
terus,NN
alih,NN
kuasa,NN
hancur,NN
runtuh,NN
corak,NN
sejak,NN
cirebon,NNP
istri,NN
anak,NN
kuas,NN
tinggal,NN
panunggul,NN
curuk,NN
aul,NN
dukun,NN
binokasih,NN
mbah,NN
kandage,NN
lante,NN
tempat,NN
mana,NN
pendiri,NN
bercorak,NN